지점,일시,고도,기압,기온,이슬점온도,풍속,풍향
47600,2020-09-23 00:00,,277,-36.9,-43.9,,
47600,2020-09-23 00:00,9580,300,-32.5,-42.5,74,260
47600,2020-09-23 00:00,,307,-31.5,-43.5,,
47600,2020-09-23 00:00,,316,-31.3,-39.3,,
47600,2020-09-23 00:00,,328,26,12,,
47600,2020-09-23 00:00,,345,-25.9,-30.8,,
47600,2020-09-23 00:00,,351,-25.3,-28.6,,
47600,2020-09-23 00:00,,359,-25.9,-30.9,,
47600,2020-09-23 00:00,,383,-22.5,-35.5,,
47600,2020-09-23 00:00,,387,26,21.3,,
47600,2020-09-23 00:00,7500,400,-19.7,-35.7,43,255
47600,2020-09-23 00:00,,402,-19.3,-37.3,,
47600,2020-09-23 00:00,,473,-27.5,-30.4,,
47600,2020-09-23 00:00,,474,-9.5,-37.5,,
47600,2020-09-23 00:00,,494,25,22.3,,
47600,2020-09-23 00:00,5800,500,-8.1,-37.1,29,245
47600,2020-09-23 00:00,,543,26,23.3,,
47600,2020-09-23 00:00,,561,-2.5,-46.5,,
47600,2020-09-23 00:00,,612,-32.5,-33.3,,
47600,2020-09-23 00:00,,615,-1.3,-28.3,,
47600,2020-09-23 00:00,,644,1.6,-18.4,,
47600,2020-09-23 00:00,,655,3,-24,,
47600,2020-09-23 00:00,,675,27,25.8,,
47600,2020-09-23 00:00,,695,-23.5,-24.5,,
47600,2020-09-23 00:00,2127,700,5.2,-11.8,8,225
47600,2020-09-23 00:00,,729,-24.5,-25.3,,
47600,2020-09-23 00:00,,749,9.2,-4.8,,
47600,2020-09-23 00:00,,761,28,27.2,,
47600,2020-09-23 00:00,,782,-34.5,-35.3,,
47600,2020-09-23 00:00,,784,11.2,-7.8,,
47600,2020-09-23 00:00,,802,10,4,,
47600,2020-09-23 00:00,,811,-4.5,-5.7,,
47600,2020-09-23 00:00,,836,13,6,,
47600,2020-09-23 00:00,,846,-8.5,-9.9,,
47600,2020-09-23 00:00,1516,850,12.8,8.9,14,90
47600,2020-09-23 00:00,,881,8,6.6,,
47600,2020-09-23 00:00,,907,15.2,14.3,,
47600,2020-09-23 00:00,,916,-5.5,-7.1,,
47600,2020-09-23 00:00,799,925,16.4,15.1,16,50
47600,2020-09-23 00:00,126,1000,22.2,18.3,17,35
47600,2020-09-23 00:00,,1013,2,.8,,
47646,2020-09-23 00:00,26660,20,-53.1,,4,10
47646,2020-09-23 00:00,24060,30,-55.3,,10,45
47646,2020-09-23 00:00,20840,50,-59.9,,16,255
47646,2020-09-23 00:00,18750,70,-64.9,,12,235
47646,2020-09-23 00:00,16610,100,-66.7,,21,270
47646,2020-09-23 00:00,,101,15,14,,
47646,2020-09-23 00:00,,102,-12.5,-13.7,,
47646,2020-09-23 00:00,,106,12,10.6,,
47646,2020-09-23 00:00,,110,-71.3,,,
47646,2020-09-23 00:00,,112,-27.5,-51.5,,
47646,2020-09-23 00:00,,119,-44.1,,,
47646,2020-09-23 00:00,,120,5,3.6,,
47646,2020-09-23 00:00,,121,-73.9,,,
47646,2020-09-23 00:00,,128,-6.5,-8.1,,
47646,2020-09-23 00:00,,131,-71.9,,,
47646,2020-09-23 00:00,,134,-3.5,-4.3,,
47646,2020-09-23 00:00,,145,-5.5,-6.3,,
47646,2020-09-23 00:00,,146,-24.1,-24.4,,
47646,2020-09-23 00:00,14200,150,-65.7,,103,240
47646,2020-09-23 00:00,,153,9,8.2,,
47646,2020-09-23 00:00,,154,-50.7,,,
47646,2020-09-23 00:00,,165,-23.5,-62.5,,
47646,2020-09-23 00:00,,166,-7.5,-8.5,,
47646,2020-09-23 00:00,,178,11,9.8,,
47646,2020-09-23 00:00,,186,-8.5,-9.9,,
47646,2020-09-23 00:00,,197,-22.5,-59.5,,
47646,2020-09-23 00:00,,199,-.5,-1.1,,
47646,2020-09-23 00:00,12400,200,-51.1,,87,230
47646,2020-09-23 00:00,,203,6,5.6,,
47646,2020-09-23 00:00,,210,-5.5,-6.5,,
47646,2020-09-23 00:00,,233,-7.5,-8.3,,
47646,2020-09-23 00:00,,240,-25.5,-33.5,,
47646,2020-09-23 00:00,,242,12,10.8,,
47646,2020-09-23 00:00,10091,250,-40.9,,58,265
47646,2020-09-23 00:00,,253,9,8.2,,
47646,2020-09-23 00:00,,260,-40.1,-49.1,,
47646,2020-09-23 00:00,,266,-9.5,-10.7,,
47646,2020-09-23 00:00,,272,-37.1,-44.1,,
47646,2020-09-23 00:00,,279,-35.5,-45.5,,
47646,2020-09-23 00:00,,298,-32.1,-42.1,,
47646,2020-09-23 00:00,9640,300,-31.9,-42.9,62,275
47646,2020-09-23 00:00,,306,-27.5,-37.5,,
47646,2020-09-23 00:00,,309,2,1.4,,
47646,2020-09-23 00:00,,331,24,23.8,,
47646,2020-09-23 00:00,,341,-25.3,-34.3,,
47646,2020-09-23 00:00,,353,15,14.6,,
47646,2020-09-23 00:00,,358,-22.7,-38.7,,
47646,2020-09-23 00:00,,375,16,15.8,,
47646,2020-09-23 00:00,,380,-23.5,-27.2,,
47646,2020-09-23 00:00,,382,-18.5,-19.5,,
47646,2020-09-23 00:00,,390,-16.7,-42.7,,
47646,2020-09-23 00:00,7550,400,-15.7,-47.7,39,245
47646,2020-09-23 00:00,,405,15,14,,
47646,2020-09-23 00:00,,406,-15.3,-43.3,,
47646,2020-09-23 00:00,,422,19,18,,
47646,2020-09-23 00:00,,438,-11.7,-23.7,,
47646,2020-09-23 00:00,,441,-25.5,-29.8,,
47646,2020-09-23 00:00,,444,-17.5,-18.1,,
47646,2020-09-23 00:00,,454,21,20.4,,
47646,2020-09-23 00:00,,461,-10.3,-15.3,,
47646,2020-09-23 00:00,,466,22,21.4,,
47646,2020-09-23 00:00,,481,28,27.4,,
47646,2020-09-23 00:00,5830,500,-6.7,-9.4,29,265
47646,2020-09-23 00:00,,504,25,23.4,,
47646,2020-09-23 00:00,,507,26,22.9,,
47646,2020-09-23 00:00,,518,-5.5,-6,,
47646,2020-09-23 00:00,,532,24,22.6,,
47646,2020-09-23 00:00,,547,-2.3,-4.1,,
47646,2020-09-23 00:00,,552,20,19.4,,
47646,2020-09-23 00:00,,572,-25.5,-26.1,,
47646,2020-09-23 00:00,,603,-61.3,,,
47646,2020-09-23 00:00,,606,23,20.9,,
47646,2020-09-23 00:00,,627,2.6,2.6,,
47646,2020-09-23 00:00,,635,19,17.1,,
47646,2020-09-23 00:00,,652,2.6,2.6,,
47646,2020-09-23 00:00,,662,-16.5,-17.1,,
47646,2020-09-23 00:00,,682,-28.5,-28.7,,
47646,2020-09-23 00:00,,694,-22.5,-23.9,,
47646,2020-09-23 00:00,,696,5.6,4.8,,
47646,2020-09-23 00:00,2137,700,5.6,4.6,12,325
47646,2020-09-23 00:00,,706,33,31.4,,
47646,2020-09-23 00:00,,710,-27.5,-28.9,,
47646,2020-09-23 00:00,,729,28,25.3,,
47646,2020-09-23 00:00,,732,-32.5,-34.4,,
47646,2020-09-23 00:00,,747,9.8,3.8,,
47646,2020-09-23 00:00,,753,33,32.2,,
47646,2020-09-23 00:00,,756,-68.5,,,
47646,2020-09-23 00:00,,761,9,3,,
47646,2020-09-23 00:00,,763,-3.5,-4.1,,
47646,2020-09-23 00:00,,776,6,4.8,,
47646,2020-09-23 00:00,,798,27,24.5,,
47646,2020-09-23 00:00,,800,11.6,5.6,,
47646,2020-09-23 00:00,,817,12.4,6.4,,
47646,2020-09-23 00:00,,830,-65.7,,,
47646,2020-09-23 00:00,,833,11,8.1,,
47646,2020-09-23 00:00,,840,11,9.9,,
47646,2020-09-23 00:00,1523,850,11.4,11.4,25,95
47646,2020-09-23 00:00,,851,10,7.5,,
47646,2020-09-23 00:00,,856,-69.1,,,
47646,2020-09-23 00:00,,874,-24.5,-28.6,,
47646,2020-09-23 00:00,808,925,16,14.9,21,80
47646,2020-09-23 00:00,,930,8,5.9,,
47646,2020-09-23 00:00,,971,25,22.9,,
47646,2020-09-23 00:00,139,1000,20.2,18.1,10,15
47646,2020-09-23 00:00,,1012,-.5,-1.1,,
47646,2020-09-23 00:00,,1013,36,35.3,,
47678,2020-09-23 00:00,18770,70,-68.3,,14,215
47678,2020-09-23 00:00,16650,100,-68.7,,17,270
47678,2020-09-23 00:00,,101,-69.3,,,
47678,2020-09-23 00:00,,106,28,23.9,,
47678,2020-09-23 00:00,,114,-27.5,-33.5,,
47678,2020-09-23 00:00,,132,-73.5,,68,225
47678,2020-09-23 00:00,,133,,,68,220
47678,2020-09-23 00:00,14250,150,-67.3,,64,210
47678,2020-09-23 00:00,,176,20,4,,
47678,2020-09-23 00:00,12450,200,-50.9,,56,200
47678,2020-09-23 00:00,,241,-40.1,-43.1,,
47678,2020-09-23 00:00,10096,250,-38.1,-40.7,43,195
47678,2020-09-23 00:00,9670,300,-28.5,-30.3,29,210
47678,2020-09-23 00:00,,303,-21.5,-24.2,,
47678,2020-09-23 00:00,,330,-23.5,-25.5,,
47678,2020-09-23 00:00,,337,-27.5,-30,,
47678,2020-09-23 00:00,,366,30,27.9,,
47678,2020-09-23 00:00,,380,32,31.6,,
47678,2020-09-23 00:00,,382,-18.3,-20,,
47678,2020-09-23 00:00,,395,-16.5,-16.7,,
47678,2020-09-23 00:00,,399,-19.5,-20.1,,
47678,2020-09-23 00:00,7550,400,-16.1,-17.4,6,195
47678,2020-09-23 00:00,,416,-13.1,-13.7,,
47678,2020-09-23 00:00,,419,23,21.8,,
47678,2020-09-23 00:00,,422,-12.1,-20.1,,
47678,2020-09-23 00:00,,424,-11.7,-11.7,,
47678,2020-09-23 00:00,,449,-20.5,-21.3,,
47678,2020-09-23 00:00,,459,14,13.6,,
47678,2020-09-23 00:00,,471,-12.5,-13.1,,
47678,2020-09-23 00:00,,482,-17.5,-18.1,,
47678,2020-09-23 00:00,5830,500,-4.7,-5.1,8,190
47678,2020-09-23 00:00,,528,22,21,,
47678,2020-09-23 00:00,,553,20,18.4,,
47678,2020-09-23 00:00,,566,.2,-1.6,,
47678,2020-09-23 00:00,,579,22,21,,
47678,2020-09-23 00:00,,626,-17.5,-19.2,,
47678,2020-09-23 00:00,,653,17,14.7,,
47678,2020-09-23 00:00,,685,-23.5,-24.9,,
47678,2020-09-23 00:00,2111,700,8.6,8.4,31,160
47678,2020-09-23 00:00,,733,20,19.4,,
47678,2020-09-23 00:00,,750,-66.1,,,
47678,2020-09-23 00:00,,753,-31.5,-31.9,,
47678,2020-09-23 00:00,,767,12,9.1,,
47678,2020-09-23 00:00,,780,-29.5,-30.7,,
47678,2020-09-23 00:00,,802,13,9.9,,
47678,2020-09-23 00:00,1484,850,15.6,15.5,31,120
47678,2020-09-23 00:00,,856,-72.9,,,
47678,2020-09-23 00:00,,873,11,8.7,,
47678,2020-09-23 00:00,,886,17.6,17.1,,
47678,2020-09-23 00:00,,889,11,7.5,,
47678,2020-09-23 00:00,,906,-21.5,-23.2,,
47678,2020-09-23 00:00,,907,10,7.1,,
47678,2020-09-23 00:00,,923,-7.5,-11.2,,
47678,2020-09-23 00:00,759,925,19.6,18.1,37,70
47678,2020-09-23 00:00,,949,6,1.7,,
47678,2020-09-23 00:00,,955,-22.5,-23.5,,
47678,2020-09-23 00:00,,978,-69.3,,,
47678,2020-09-23 00:00,,988,-7.5,-9.6,,
47678,2020-09-23 00:00,,992,23,21.2,,
47678,2020-09-23 00:00,,993,-26.5,-28.1,,
47678,2020-09-23 00:00,83,1000,,,,
47678,2020-09-23 00:00,,1992,23,21.2,12,65
47741,2020-09-23 00:00,31210,10,-42.5,,8,120
47741,2020-09-23 00:00,26640,20,-52.1,,14,75
47741,2020-09-23 00:00,24030,30,-54.7,,4,105
47741,2020-09-23 00:00,20810,50,-59.1,,4,275
47741,2020-09-23 00:00,18740,70,-66.5,,10,230
47741,2020-09-23 00:00,16610,100,-72.7,,60,255
47741,2020-09-23 00:00,,101,-42.5,,,
47741,2020-09-23 00:00,,102,25,19,,
47741,2020-09-23 00:00,,104,10,9,,
47741,2020-09-23 00:00,,109,-72.5,,54,235
47741,2020-09-23 00:00,,111,3,1.8,,
47741,2020-09-23 00:00,,117,-47.7,,,
47741,2020-09-23 00:00,,122,-5.5,-6.5,,
47741,2020-09-23 00:00,,125,-47.3,,,
47741,2020-09-23 00:00,,128,3,2.4,,
47741,2020-09-23 00:00,,134,11,10,,
47741,2020-09-23 00:00,,139,-9.5,-10.5,,
47741,2020-09-23 00:00,14180,150,-63.5,,58,240
47741,2020-09-23 00:00,,153,11,9.6,,
47741,2020-09-23 00:00,,155,-23.5,-31.5,,
47741,2020-09-23 00:00,,182,7,5.3,,
47741,2020-09-23 00:00,,184,25,23,,
47741,2020-09-23 00:00,12360,200,-51.7,,56,260
47741,2020-09-23 00:00,,205,-7.5,-8.7,,
47741,2020-09-23 00:00,,211,-51.3,,,
47741,2020-09-23 00:00,,219,,,70,265
47741,2020-09-23 00:00,,232,7,5.3,,
47741,2020-09-23 00:00,,242,-9.5,-10.7,,
47741,2020-09-23 00:00,10089,250,-41.5,,66,255
47741,2020-09-23 00:00,,256,-40.1,-45.1,,
47741,2020-09-23 00:00,,262,-3.5,-4.7,,
47741,2020-09-23 00:00,,270,7,6.2,,
47741,2020-09-23 00:00,,285,-33.5,-42.5,,
47741,2020-09-23 00:00,,295,-9.5,-10.1,,
47741,2020-09-23 00:00,9620,300,-30.3,-40.3,60,250
47741,2020-09-23 00:00,,306,-14.5,-15.3,,
47741,2020-09-23 00:00,,324,15,12.9,,
47741,2020-09-23 00:00,,331,-25.3,-30.3,,
47741,2020-09-23 00:00,,338,-14.5,-16.2,,
47741,2020-09-23 00:00,,339,-57.5,,,
47741,2020-09-23 00:00,,354,11,10.2,,
47741,2020-09-23 00:00,,368,14,13,,
47741,2020-09-23 00:00,,373,-20.5,-21.5,,
47741,2020-09-23 00:00,,376,-21.1,-29.1,,
47741,2020-09-23 00:00,,377,-24.5,-28.6,,
47741,2020-09-23 00:00,,381,13,11.6,,
47741,2020-09-23 00:00,,389,-19.5,-33.5,,
47741,2020-09-23 00:00,7520,400,-17.9,-29.9,35,245
47741,2020-09-23 00:00,,404,7,6.6,,
47741,2020-09-23 00:00,,421,-23.5,-23.9,,
47741,2020-09-23 00:00,,423,-58.7,,,
47741,2020-09-23 00:00,,435,26,23.3,,
47741,2020-09-23 00:00,,438,-12.3,-34.3,,
47741,2020-09-23 00:00,,464,-19.5,-20.7,,
47741,2020-09-23 00:00,,478,21,20.2,,
47741,2020-09-23 00:00,,481,-18.5,-20.2,,
47741,2020-09-23 00:00,,497,28,27.8,,
47741,2020-09-23 00:00,5810,500,-6.1,-36.1,14,185
47741,2020-09-23 00:00,,503,-18.5,-19.9,,
47741,2020-09-23 00:00,,510,-59.1,,,
47741,2020-09-23 00:00,,519,31,30.2,,
47741,2020-09-23 00:00,,524,-21.5,-22.9,,
47741,2020-09-23 00:00,,536,-2.3,-36.3,,
47741,2020-09-23 00:00,,552,-25.5,-27.6,,
47741,2020-09-23 00:00,,559,-3.3,-17.3,,
47741,2020-09-23 00:00,,560,30,28.6,,
47741,2020-09-23 00:00,,565,-3.3,-14.3,,
47741,2020-09-23 00:00,,574,-28.5,-29.5,,
47741,2020-09-23 00:00,,585,-1.7,-22.7,,
47741,2020-09-23 00:00,,598,-22.5,-22.7,,
47741,2020-09-23 00:00,,623,-21.5,-23.4,,
47741,2020-09-23 00:00,,651,6,5.6,,
47741,2020-09-23 00:00,,670,-67.1,,,
47741,2020-09-23 00:00,,678,-10.5,-10.9,,
47741,2020-09-23 00:00,,689,10,9.2,,
47741,2020-09-23 00:00,2125,700,7,-16,8,90
47741,2020-09-23 00:00,,702,23,22.2,,
47741,2020-09-23 00:00,,708,-6.5,-7.5,,
47741,2020-09-23 00:00,,722,-28.5,-29.3,,
47741,2020-09-23 00:00,,727,-65.1,,,
47741,2020-09-23 00:00,,737,5,4,,
47741,2020-09-23 00:00,,744,-29.5,-31.6,,
47741,2020-09-23 00:00,,751,11.6,-17.4,,
47741,2020-09-23 00:00,,757,11.4,-14.6,,
47741,2020-09-23 00:00,,761,-7.5,-7.9,,
47741,2020-09-23 00:00,,768,8.2,.2,,
47741,2020-09-23 00:00,,772,6.4,5.8,,
47741,2020-09-23 00:00,,778,-8.5,-9.7,,
47741,2020-09-23 00:00,,783,27,23.7,,
47741,2020-09-23 00:00,,787,-68.5,,,
47741,2020-09-23 00:00,,833,8,6.1,,
47741,2020-09-23 00:00,1514,850,12.4,9.9,17,75
47741,2020-09-23 00:00,,873,27,24.1,,
47741,2020-09-23 00:00,,874,12.8,12.1,,
47741,2020-09-23 00:00,,887,-68.5,,,
47741,2020-09-23 00:00,,898,-5.5,-7.8,,
47741,2020-09-23 00:00,,916,-28.5,-30.5,,
47741,2020-09-23 00:00,799,925,16,14.7,23,50
47741,2020-09-23 00:00,,928,-71.5,,,
47741,2020-09-23 00:00,,967,-26.5,-36.5,,
47741,2020-09-23 00:00,,971,5,3.1,,
47741,2020-09-23 00:00,,990,21.2,16.3,,
47741,2020-09-23 00:00,127,1000,21.2,17,8,55
47741,2020-09-23 00:00,,1010,7,6.8,,
47741,2020-09-23 00:00,,1012,21.4,19,1,200
47741,2020-09-23 00:00,,1089,15,13.4,,
47741,2020-09-23 00:00,,1094,-14.5,-15.3,,
47778,2020-09-23 00:00,16640,100,-74.7,,51,275
47778,2020-09-23 00:00,,104,27,25,,
47778,2020-09-23 00:00,,107,-77.9,,,
47778,2020-09-23 00:00,,113,-78.5,,,
47778,2020-09-23 00:00,,122,-22.5,-32.5,,
47778,2020-09-23 00:00,,132,-20.5,-22.5,,
47778,2020-09-23 00:00,14270,150,-64.7,,52,200
47778,2020-09-23 00:00,,160,-60.9,,,
47778,2020-09-23 00:00,,185,20,18,,
47778,2020-09-23 00:00,12450,200,-48.9,,56,195
47778,2020-09-23 00:00,,209,-20.5,-26.5,,
47778,2020-09-23 00:00,,230,-23.5,-26.8,,
47778,2020-09-23 00:00,,244,-40.1,-62.1,,
47778,2020-09-23 00:00,10095,250,-38.9,-60.9,35,270
47778,2020-09-23 00:00,,254,-27.5,-31,,
47778,2020-09-23 00:00,9670,300,-29.1,-48.1,41,280
47778,2020-09-23 00:00,,304,-28.1,-48.1,,
47778,2020-09-23 00:00,,318,28,23.7,,
47778,2020-09-23 00:00,,353,-27.5,-30.2,,
47778,2020-09-23 00:00,,372,-19.1,-25.1,,
47778,2020-09-23 00:00,,379,-18.7,-23.7,,
47778,2020-09-23 00:00,7560,400,-15.1,-25.1,29,270
47778,2020-09-23 00:00,,417,-27.5,-30,,
47778,2020-09-23 00:00,,436,-9.7,-24.7,,
47778,2020-09-23 00:00,,438,-9.3,-36.3,,
47778,2020-09-23 00:00,,464,-23.5,-24.3,,
47778,2020-09-23 00:00,,470,-5.5,-31.5,,
47778,2020-09-23 00:00,,476,-6.3,-17.3,,
47778,2020-09-23 00:00,,478,24,22.6,,
47778,2020-09-23 00:00,,486,-6.1,-12.1,,
47778,2020-09-23 00:00,5830,500,-5.1,-9.5,8,235
47778,2020-09-23 00:00,,532,-2.1,-4.1,,
47778,2020-09-23 00:00,,554,-21.5,-22.1,,
47778,2020-09-23 00:00,,565,-16.5,-17.1,,
47778,2020-09-23 00:00,,621,4,3.2,,
47778,2020-09-23 00:00,,653,4,3.2,,
47778,2020-09-23 00:00,2113,700,8.8,8,12,40
47778,2020-09-23 00:00,,719,3,1.6,,
47778,2020-09-23 00:00,,751,-6.5,-7.9,,
47778,2020-09-23 00:00,,755,11.8,10.5,,
47778,2020-09-23 00:00,,785,-8.5,-11.6,,
47778,2020-09-23 00:00,,812,12.2,12.2,,
47778,2020-09-23 00:00,,823,7,3.7,,
47778,2020-09-23 00:00,1485,850,14.6,13,37,60
47778,2020-09-23 00:00,,906,16.8,15.2,,
47778,2020-09-23 00:00,,907,6,1.5,,
47778,2020-09-23 00:00,764,925,17.8,15.1,47,65
47778,2020-09-23 00:00,,948,-28.5,-33.2,,310
47778,2020-09-23 00:00,,980,-5.5,-9,,
47778,2020-09-23 00:00,89,1000,22.6,20,16,50
47778,2020-09-23 00:00,,1002,5,3.3,,
47807,2020-09-23 00:00,26630,20,-51.9,,19,85
47807,2020-09-23 00:00,24020,30,-54.1,,10,90
47807,2020-09-23 00:00,20800,50,-59.9,,0,0
47807,2020-09-23 00:00,18740,70,-68.9,,8,285
47807,2020-09-23 00:00,,100,26,21.3,,
47807,2020-09-23 00:00,,103,-73.9,,,
47807,2020-09-23 00:00,,120,-24.5,-28.2,,
47807,2020-09-23 00:00,,130,-65.3,,,
47807,2020-09-23 00:00,,136,27,22.5,,
47807,2020-09-23 00:00,,139,-65.9,,,
47807,2020-09-23 00:00,14210,150,-64.3,,47,250
47807,2020-09-23 00:00,,151,25,20.3,,
47807,2020-09-23 00:00,,167,8,5.3,,
47807,2020-09-23 00:00,,192,10,7.7,,
47807,2020-09-23 00:00,12400,200,-53.1,,56,265
47807,2020-09-23 00:00,,216,-7.5,-9.6,,
47807,2020-09-23 00:00,,217,-25.5,-37.5,,
47807,2020-09-23 00:00,,222,-52.1,,,
47807,2020-09-23 00:00,10092,250,-40.7,,56,255
47807,2020-09-23 00:00,,253,-40.1,-44.9,,
47807,2020-09-23 00:00,,266,7,5.6,,
47807,2020-09-23 00:00,,281,-10.5,-11.3,,
47807,2020-09-23 00:00,,283,-33.1,-39.1,,
47807,2020-09-23 00:00,,290,-25.5,-27.5,,
47807,2020-09-23 00:00,,295,-9.5,-10.5,,
47807,2020-09-23 00:00,9650,300,-29.3,-38.3,49,255
47807,2020-09-23 00:00,,301,-29.3,-38.3,,
47807,2020-09-23 00:00,,311,12,10.4,,
47807,2020-09-23 00:00,,331,-25.5,-26.9,,
47807,2020-09-23 00:00,,332,-11.5,-13.4,,
47807,2020-09-23 00:00,,349,-9.5,-10.7,,
47807,2020-09-23 00:00,,367,-14.5,-15.5,,
47807,2020-09-23 00:00,,378,14,12.6,,
47807,2020-09-23 00:00,,383,-17.3,-20.2,,
47807,2020-09-23 00:00,,391,-16.5,-18.9,,
47807,2020-09-23 00:00,,399,-5.5,-5.9,,
47807,2020-09-23 00:00,7540,400,-16.1,-16.5,39,255
47807,2020-09-23 00:00,,427,17,16.8,,
47807,2020-09-23 00:00,,429,-25.5,-29.4,,
47807,2020-09-23 00:00,,437,17,16.4,,
47807,2020-09-23 00:00,,470,-7.1,-10.7,,
47807,2020-09-23 00:00,,471,-6.9,-15.9,,
47807,2020-09-23 00:00,,474,-9.5,-10.1,,
47807,2020-09-23 00:00,,475,-6.3,-14.3,,
47807,2020-09-23 00:00,,478,-5.9,-21.9,,
47807,2020-09-23 00:00,,484,-5.3,-17.3,,
47807,2020-09-23 00:00,,489,-28.5,-28.7,,
47807,2020-09-23 00:00,,490,-4.9,-33.9,,
47807,2020-09-23 00:00,5810,500,-3.9,-41.9,25,235
47807,2020-09-23 00:00,,506,-3.3,-42.3,,
47807,2020-09-23 00:00,,516,-4.9,-15.9,,
47807,2020-09-23 00:00,,518,-24.5,-24.7,,
47807,2020-09-23 00:00,,533,-3.7,-10.7,,
47807,2020-09-23 00:00,,541,24,22.4,,
47807,2020-09-23 00:00,,542,-62.9,,,
47807,2020-09-23 00:00,,550,22,20.4,,
47807,2020-09-23 00:00,,563,-2.7,-3.6,,
47807,2020-09-23 00:00,,570,-3.3,-3.3,,
47807,2020-09-23 00:00,,573,-3.3,-9.3,,
47807,2020-09-23 00:00,,574,-23.5,-24.9,,
47807,2020-09-23 00:00,,581,-2.3,-11.3,,
47807,2020-09-23 00:00,,583,-1.9,-33.9,,
47807,2020-09-23 00:00,,588,19,18.2,,
47807,2020-09-23 00:00,,608,17,16.2,,
47807,2020-09-23 00:00,,612,-20.5,-21.7,,
47807,2020-09-23 00:00,,643,-21.5,-22.1,,
47807,2020-09-23 00:00,,657,-33.5,-33.9,,
47807,2020-09-23 00:00,,672,-33.5,-34.7,,
47807,2020-09-23 00:00,,685,-11.5,-11.9,,
47807,2020-09-23 00:00,,689,7.2,-27.8,,
47807,2020-09-23 00:00,2122,700,-28.5,-29.3,,
47807,2020-09-23 00:00,,702,6.8,-7.2,,
47807,2020-09-23 00:00,,705,6,1.5,,
47807,2020-09-23 00:00,,710,15,14.4,,
47807,2020-09-23 00:00,,715,30,29.4,,
47807,2020-09-23 00:00,,740,-9.5,-9.7,,
47807,2020-09-23 00:00,,751,28,25.9,,
47807,2020-09-23 00:00,,769,-27.5,-27.7,,
47807,2020-09-23 00:00,,789,13,6,,
47807,2020-09-23 00:00,,794,27,26.4,,
47807,2020-09-23 00:00,,795,-24.5,-26.6,,
47807,2020-09-23 00:00,,802,14.4,-7.6,,
47807,2020-09-23 00:00,,808,1,.8,,
47807,2020-09-23 00:00,,812,13.8,-18.2,,
47807,2020-09-23 00:00,,830,-7.5,-8.1,,
47807,2020-09-23 00:00,,842,12,6,,
47807,2020-09-23 00:00,1502,850,12.4,7.5,16,55
47807,2020-09-23 00:00,,863,5,3.1,,
47807,2020-09-23 00:00,,886,14.2,11.1,,
47807,2020-09-23 00:00,,895,-28.5,-32.2,,
47807,2020-09-23 00:00,786,925,16,13.9,19,80
47807,2020-09-23 00:00,,943,17,14.2,,
47807,2020-09-23 00:00,,990,6,5.4,,
47807,2020-09-23 00:00,116,1000,21.4,16.4,2,115
47807,2020-09-23 00:00,,1010,-17.5,-17.7,,
47807,2020-09-23 00:00,,1011,16,15.9,,
47827,2020-09-23 00:00,26620,20,,,,
47827,2020-09-23 00:00,24020,30,-56.1,,21,90
47827,2020-09-23 00:00,20810,50,-6.5,-8.6,,
47827,2020-09-23 00:00,18770,70,-71.5,,19,325
47827,2020-09-23 00:00,16670,100,-73.1,,27,285
47827,2020-09-23 00:00,,105,-72.5,,,
47827,2020-09-23 00:00,,106,27,24.3,,
47827,2020-09-23 00:00,,112,-26.5,-30,,
47827,2020-09-23 00:00,,114,-12.5,-14.1,,
47827,2020-09-23 00:00,,118,15,13.1,,
47827,2020-09-23 00:00,,119,-71.5,,25,250
47827,2020-09-23 00:00,,130,-24.5,-28.2,,
47827,2020-09-23 00:00,,139,-65.7,,,
47827,2020-09-23 00:00,,145,-67.1,,,
47827,2020-09-23 00:00,,146,26,22.5,,
47827,2020-09-23 00:00,14260,150,-65.9,,35,260
47827,2020-09-23 00:00,,154,-25.5,-28.8,,
47827,2020-09-23 00:00,,162,-49.5,,,
47827,2020-09-23 00:00,,163,8,4.1,,
47827,2020-09-23 00:00,,175,7,3.9,,
47827,2020-09-23 00:00,,182,26,23.9,,
47827,2020-09-23 00:00,,194,27,24.5,,
47827,2020-09-23 00:00,12450,200,-51.9,,29,275
47827,2020-09-23 00:00,,209,-6.5,-7.7,,
47827,2020-09-23 00:00,,217,-53.3,,,
47827,2020-09-23 00:00,,224,-8.5,-11,,
47827,2020-09-23 00:00,,228,-26.5,-30.4,,
47827,2020-09-23 00:00,10097,250,-40.5,,35,255
47827,2020-09-23 00:00,,251,-40.1,-46.1,,
47827,2020-09-23 00:00,,263,9,7.1,,
47827,2020-09-23 00:00,,275,11,9.3,,
47827,2020-09-23 00:00,,277,25,21.1,,
47827,2020-09-23 00:00,,289,8,5.9,,
47827,2020-09-23 00:00,,292,-25.5,-28.4,,
47827,2020-09-23 00:00,9700,300,-29.1,-37.1,29,260
47827,2020-09-23 00:00,,302,-9.5,-11.6,,
47827,2020-09-23 00:00,,322,-24.9,-32.9,,
47827,2020-09-23 00:00,,328,-23.7,-34.7,,
47827,2020-09-23 00:00,,342,-8.5,-9.9,,
47827,2020-09-23 00:00,,366,-12.5,-13.7,,
47827,2020-09-23 00:00,,367,-25.5,-28,,
47827,2020-09-23 00:00,,390,-12.5,-14.1,,
47827,2020-09-23 00:00,,395,-14.1,-22.1,,
